"id","art_type","classification","display_name","title","year","begin_year","medium","dimensions","current_location","gender","last_name","first_name","display_bio","birth_year","death_year"
"SKF-2008-023","Art","Skulptur","A kassen","Concrete Floor","2008",2008,"SKO, cement og statist","","SKF-2008-023: Fredericia Gymnasium (Nørrebrogade 88), Fredericia: Syddanmark, Fredericia","m",,,,0,0
"SKF-2008-024","Art","Skulptur","A kassen","Seen from below","2008",2008,"sko, stole, bord og statist","","SKF-2008-024: Elverdamsskolen, Tølløse (Sportsvej 3): Hovedstaden, Holbæk","m",,,,0,0
"SKF-2013-031","Art","Maleri","AVPD","Pleats","2013",2013,"Océ IJM113 Premium\nPaper FSC / 90 gr.","700 × 610 cm","SKF-2013-031: Stenhus Gymnasium (): Sjælland","m",,,,0,0
"SKF-2013-032","Art","Maleri","AVPD","Pleats","2013",2013,"Océ IJM113 Premium\nPaper FSC / 90 gr.","700 × 610 cm","SKF-2013-032: Stenhus Gymnasium (): Sjælland","m",,,,0,0
"SKF-2013-033","Art","Maleri","AVPD","Pleats","2013",2013,"Océ IJM113 Premium\nPaper FSC / 90 gr.","700 × 600 cm","SKF-2013-033: Stenhus Gymnasium (): Sjælland","m",,,,0,0
"SKF-2013-034","Art","Maleri","AVPD","Pleats","2013",2013,"Océ IJM113 Premium\nPaper FSC / 90 gr.","700 × 600 cm","SKF-2013-034: Stenhus Gymnasium (): Sjælland","m",,,,0,0
"SKFK-1988-036","Crafts","Keramik","Aage Birch","Lågkrukke","1988",1988,"Stentøj, brun m. 4 bambuspinde","49 x 12 cm","SKFK-1988-036: Det Danske Kunstindustrimuseum (Bredgade 68), København K: Hovedstaden, København","m","Birch","Aage","1941",1941,0
"SKFK-1990-005","Crafts","Keramik","Aage Birch","Vase","1989",1989,"Stentøj","45 cm","SKFK-1990-005: Statens Kunstfond: Hovedstaden, København","m","Birch","Aage","1941",1941,0
"SKFK-1990-006","Crafts","Keramik","Aage Birch","Sort form","1990",1990,"Muffelbr., stentøj","25 cm","SKFK-1990-006: Statens Kunstfond: Hovedstaden, København","m","Birch","Aage","1941",1941,0
"SKFK-1994-039","Crafts","Keramik","Aage Birch","Krukke","1994",1994,"stentøj, sinterbegitte gul rust","39 x 36 x 12 cm","SKFK-1994-039: Kulturstyrelsen (H. C. Andersens Boulevard 2): Hovedstaden, København","m","Birch","Aage","1941",1941,0
"SKFK-1994-040","Crafts","Keramik","Aage Birch","Krukke","1994",1994,"stentøj, sinterbegitte gul rust","35 x 45 x 12 cm","SKFK-1994-040: Kulturstyrelsen (H. C. Andersens Boulevard 2): Hovedstaden, København","m","Birch","Aage","1941",1941,0
"SKFK-1994-041","Crafts","Keramik","Aage Birch","Krukke","1994",1994,"stentøj, sinterbegitte gul rust","35 x 46 x 12 cm","SKFK-1994-041: Kulturstyrelsen (H. C. Andersens Boulevard 2): Hovedstaden, København","m","Birch","Aage","1941",1941,0
"SKFK-2005-026","Crafts","Keramik","Aage Birch","Uden titel, skulptur","2005",2005,"keramik + jern","37 x 62 x 12 cm","SKFK-2005-026: Odder Højskole Odder: Midtjylland, Odder","m","Birch","Aage","1941",1941,0
"SKFK-1973-042","Crafts","Design","Aage Helbig Hansen","Vandkande med indsnit","1955",1955,"rustfrit stål","23 cm","SKFK-1973-042: CVU Jelling (Vejlevej 2), Jelling: Syddanmark, Vejle","m","Hansen","Aage Helbig","1915 - 2014",1915,2014
