# Notes on entry:
# * Data is manually entered from Wikipedia on 3 Oct. 2015 (https://da.wikipedia.org/wiki/Statens_Kunstfonds_Udvalg_for_Kunst_i_det_Offentlige_Rum)
# * "Indtil"  is interperted as the 1st of the month, since intervals are assumed
#   to be half-open, [start, end)
# * Mogens Møller is chairman until Oct 2000, member until aug 2001, then
#   succeeded by Niels Winkel. This can be read in "Årsbereningen 2001" (http://www.kunst.dk/fileadmin/_kunst2011/user_upload/Dokumenter/Kunstfonden/AArsberetninger/AArsberetning_2001.pdf)
"name","gender","committee_id","position","start_date","end_date"
"Erik Fischer","m","1","chariman","1965-01-01","1967-01-01"
"Georg Jacobsen","m","1","member","1965-01-01","1967-01-01"
"Erik Thommesen","m","1","member","1965-01-01","1967-01-01"
"Preben Wilmann","m","2","chairman","1968-01-01","1970-01-01"
"Søren Georg Jensen","m","2","member","1968-01-01","1970-01-01"
"Richard Winther","m","2","member","1968-01-01","1970-01-01"
"Jan Zibrandtsen","m","3","chairman","1971-01-01","1974-03-31"
"Emil Gregersen","m","3","member","1971-01-01","1974-03-31"
"Erik Heide","m","3","member","1971-01-01","1974-03-31"
"Jørgen Rømer","m","4","chairman","1974-04-01","1977-03-31"
"Anders Kirkegaard","m","4","member","1974-04-01","1976-05-01"
"Knud Nellemose","m","4","member","1974-04-01","1977-03-31"
"Bent Stubbe Teglbjærg","m","4","member","1974-04-01","1976-05-01"
"Mogens Andersen","m","5","chairman","1977-04-01","1980-01-01"
"Henning Damgaard-Sørensen","m","5","member","1977-04-01","1980-01-01"
"Poul Erik Skriver","m","5","member","1977-04-01","1980-01-01"
"Hans Edvard Nørregård-Nielsen","m","6","chairman","1981-01-01","1983-01-01"
"Sven Dalsgaard","m","6","member","1981-01-01","1983-01-01"
"Kasper Heiberg","m","6","member","1981-01-01","1983-01-01"
"Erik Korshagen,","m","7","chairman","1984-01-01","1986-01-01"
"Bent Karl Jacobsen","m","7","member","1984-01-01","1986-01-01"
"Bent Sørensen","m","7","member","1984-01-01","1986-01-01"
"Torben Ebbesen","m","8","chairman","1987-01-01","1989-01-01"
"Poul Agger","m","8","member","1987-01-01","1989-01-01"
"Erland Knudssøn Madsen","m","8","member","1987-01-01","1989-01-01"
"Leila Krogh","f","9","chairman","1990-01-01","1992-01-01"
"Gert Nielsen","m","9","member","1990-01-01","1992-01-01"
"Allan Stabell","m","9","member","1990-01-01","1992-01-01"
"Margrete Sørensen","f","10","chairman","1993-01-01","1995-01-01"
"Kirsten Christensen","f","10","member","1993-01-01","1995-01-01"
"Hanne Kjærholm","f","10","member","1993-01-01","1995-01-01"
"Ane Hejlskov Larsen","f","11","chairman","1996-01-01","1998-01-01"
"Knud Friis","m","11","member","1996-01-01","1998-01-01"
"Marianne Hesselbjerg","f","11","member","1996-01-01","1998-01-01"
"Mogens Møller","m","12","chairman","1999-01-01","2000-10-01"
"Mogens Møller","m","12","member","2000-10-01","2001-08-31"
"Torben Schønherr","m","12","member","1999-01-01","2001-10-01"
"Torben Schønherr","m","12","chairman","2000-10-01","2001-01-01"
"Frithioff Johansen","m","12","member","1999-01-01","2001-01-01"
"Niels Winkel","m","12","member","2001-08-01","2001-01-01"
"Sys Hindsbo","f","13","chairman","2002-01-01","2004-01-01"
"Ingvar Cronhammar","m","13","member","2002-01-01","2004-01-01"
"Steen Høyer","m","13","member","2002-01-01","2004-01-01"
"Jesper Christiansen","m","14","chairman","2005-01-01","2007-01-01"
"Jørgen Carlo Larsen","m","14","member","2005-01-01","2007-01-01"
"Poul Ingemann","m","14","member","2005-01-01","2007-01-01"
"Erik Steffensen","m","15","chairman","2008-01-01","2010-01-01"
"Kerstin Bergendal","f","15","member","2008-01-01","2010-01-01"
"Henrik Terkelsen","m","15","member","2008-01-01","2010-01-01"
"Søren Jensen","m","16","chairman","2011-01-01","2013-01-01"
"Marianne Levinsen","f","16","member","2011-01-01","2013-01-01"
"Jens Haaning","m","16","member","2011-01-01","2013-01-01"
