Display Name;Salutation;Last Name;First Name;Display Bio;Begin Date;End Date
A kassen;M;;;;0;0
Leif Hygild Andersen;m;Andersen;Leif;;0;0
Ulla Andersen;k;Andersen;Ulla;;0;0
"Arbejdsgruppen bag ""Gaden Finder Vej""";grp;;;;0;0
"Arbejdsgruppen bag ""Konfettirum - 7 Mursten""";grp;;;;0;0
Arbejdsgruppen bag DIG OG MIG OG OS TRE;grp;;;;0;0
Arbejdsgruppen bag Lokal-Global-Plan;grp;;;;0;0
Arbejdsgruppen for bevarelsen af Astrid Noacks Atelier;grp;;;;0;0
Arbejdsgruppen Forsømte steder - Ny identitet;grp;;;;0;0
Arbejdsgruppen omkring det gamle Kastanjetræ på Enghave plads;grp;;;;0;0
Arbejdsgruppen omkring New Life Copenhagen;grp;;;;0;0
Arbejdsgruppen SOUP – Sol Over Urbanplanen;grp;;;;0;0
Arbejdsgruppen: Organisering af artikler på Wikipedia;grp;;;;0;0
Arbejdsgruppen: Provins;grp;;;;0;0
AVPD;M;;;;0;0
Pia Baastrup;k;Baastrup;Pia;;0;0
Bank & Rau;k;;Bank & Rau;;0;0
Birgitte og Hans Börjeson;grp;Börjeson;Birgitte og Hans;;0;0
Brd. F. & L. Dahlman's Eft. APS;;;;;0;0
Sebastian Brink;M;Brink;Sebastian;;0;0
Marc Bjørn Carlsson;m;Carlsson;Marc Bjørn;;0;0
Christianias Glaspusteri;grp;;;;0;0
Tom Christoffersen;m;Christoffersen;Tom;;0;0
Claydies;k;Claydies;;;0;0
Morten Cramer;m;Cramer;Morten;Dansk;0;0
Dahlmans efterfølger;M;;;;0;0
Dansekompagniet Åben Dans;grp;;;;0;0
Darryle og Anja Kjær Hinz;grp;Hinz;Darryle og Anja Kjær;;0;0
Dissing + Weitling;;;;;0;0
Kristina Eldon;k;Eldon;Kristina;;0;0
Elmgreen & Dragset;m;Elmgreen & Dragset;;;0;0
E-Types;grp;;E-Types;;0;0
Rune Fjord;m;Fjord;Rune;;0;0
Alphons Frandsen;m;Frandsen;Alphons;;0;0
Trine Friederichsen;k;Friederichsen;Trine;;0;0
Grønlandske grafikere;grp;;;;0;0
Lisa Grue;k;Grue;Lisa;;0;0
Guldsmedehøjskolen;;;;;0;0
Gunvor Haugesen;grp;Haugesen;Gunvor;;0;0
Janne K. Hansen;k;Hansen;Janne;;0;0
